UserID,productcode,review_rating
22431518,2224GHOST,5
22431518,33837P1,5
21441947,30711A,5
22402085,3738BICYCLE,5
22431518,29843P2,5
23084451,5819P43,5
19018292,3705KUL10,2
19018292,39027P4,4
19018292,37434P1,4
19018292,7027KLT,4
19018292,5772KULTO19,4
19018292,5772KULTO6,2
19018292,24380P182,5
19018292,5772KULTO13,4
19018292,2142OSA_P840,5
22545776,3774WW,5
22158368,29454P6,5
22158368,30727P9,5
22158368,30727P8,5
22158368,30727P9,5
15859796,12855P11,4
15859796,10784P1,4
23087776,5070TUSCANY,5
15859796,2230S95,5
14534302,6376ZIPLINE,4
22785903,5070FARMHOUSE,5
21517757,6729P101,4
16319837,2915CT,4
16319837,5808SZECHENYI,5
8066074,3685HKT05P,5
22609423,5391ROYALPALACE,5
8066074,3685HKT26C,5
8066074,3685HKT,5
23130541,5156SHARK,4
21445970,7205P4,5
23168973,38668P1,5
22977207,35380P8,4
19905618,5885P142,1
23045590,3910_CB_B,5
19905618,36244P9,5
22044643,5344PRTRTBZIPDIP,5
19905618,5811MIDCHIDAY,4
11194145,25988P1,1
19905618,5811MIDCELEST,4
23127297,17153P3,5
23004643,16383P1,5
22277909,5250P14,5
22880905,18262P2,4
22744422,3780PADDLE,4
21531188,5408COMBO,5
22744422,2292GRAND,5
11554475,2452POTTER,5
11554475,9205P1,5
6233201,2230S95,5
11554475,3627PARGARE_P,5
11554475,3627PARHTLAPTCDG,5
21614022,2142TYO_F800_F820,5
22041380,24058P1,5
9086946,7081NYCDAY,5
9086946,7249P1,4
15490265,2050MSL,3
2168741,36001P2,5
22316687,3780STEAMDIN,4
22316687,5889GHOST,5
22406891,3582BOTH,5
22406891,6582_284_231MG,3
21816557,17279P5,5
22676010,12988P7,5
22630797,17184P2,5
22471540,6287RASTA,5
21668064,29045P1,5
21668064,7500P3,5
21668064,19849P8,5
22292968,3695SINHTLAPT,2
18686815,3958EXPNYC,5
11505105,31368P8,2
11505105,10606P7,5
22141131,5529BRUPTHTL,5
22141131,5529BRUHTLAPT,5
13675893,2776GUINNESS,5
22141131,5071WALKING,5
22966402,6079PASS,5
22873422,3188IRIDE,3
23046484,6158ALLMGW,5
22873422,47668ORLEYE,4
21047398,6836P27,5
8274898,35149P10,5
6554454,2916LISBON,1
8274898,2970P50,5
6554454,5550_007,5
6554454,2140PRADO,4
22156414,5112_B0024,4
16929867,6121P6,3
6554454,2140JTEBA07PM,4
22183527,5070CHIANTISAFARI,5
17058639,17184P2,5
6554454,5582BCNCOOKING,5
6554454,2916BARCELONA,4
6554454,2140SAGRADATORRES,5
6554454,5587CASAMILA,5
22801110,14218P9,5
6554454,2916SEV,3
6554454,2198FULLDAYTOUR,3
6554454,2140MADRIDHOPON,4
6554454,22869ROYALPALACEEXC,1
22183527,3731CRYPTS,5
22962227,3234PCT,5
22183527,3731VATICAN,5
22183527,5034ROMAPTHTL,4
22238169,28222P3,5
